,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
620,3,27.0,1,0,14.4542,0,1,1,0,0
88,1,23.0,3,2,263.0,1,0,0,0,1
431,3,28.0,1,0,16.1,1,0,0,0,1
8,3,27.0,0,2,11.1333,1,0,0,0,1
27,1,19.0,3,2,263.0,0,1,0,0,1
32,3,28.0,0,0,7.75,1,0,0,1,0
589,3,28.0,0,0,8.05,0,1,0,0,1
440,2,45.0,1,1,26.25,1,0,0,0,1
224,1,38.0,1,0,90.0,0,1,0,0,1
248,1,37.0,1,1,52.5542,0,1,0,0,1
530,2,2.0,1,1,26.0,1,0,0,0,1
596,2,28.0,0,0,33.0,1,0,0,0,1
794,3,25.0,0,0,7.8958,0,1,0,0,1
448,3,5.0,2,1,19.2583,1,0,1,0,0
230,1,35.0,1,0,83.475,1,0,0,0,1
232,2,59.0,0,0,13.5,0,1,0,0,1
52,1,49.0,1,0,76.7292,1,0,1,0,0
362,3,45.0,0,1,14.4542,1,0,1,0,0
761,3,41.0,0,0,7.125,0,1,0,0,1
754,2,48.0,1,2,65.0,1,0,0,0,1
299,1,50.0,0,1,247.5208,1,0,1,0,0
261,3,3.0,4,2,31.3875,0,1,0,0,1
130,3,33.0,0,0,7.8958,0,1,1,0,0
221,2,27.0,0,0,13.0,0,1,0,0,1
608,2,22.0,1,2,41.5792,1,0,1,0,0
326,3,61.0,0,0,6.2375,0,1,0,0,1
314,2,43.0,1,1,26.25,0,1,0,0,1
758,3,34.0,0,0,8.05,0,1,0,0,1
644,3,0.75,2,1,19.2583,1,0,1,0,0
42,3,28.0,0,0,7.8958,0,1,1,0,0
617,3,26.0,1,0,16.1,1,0,0,0,1
707,1,42.0,0,0,26.2875,0,1,0,0,1
78,2,0.83,0,2,29.0,0,1,0,0,1
354,3,28.0,0,0,7.225,0,1,1,0,0
114,3,17.0,0,0,14.4583,1,0,1,0,0
97,1,23.0,0,1,63.3583,0,1,1,0,0
196,3,28.0,0,0,7.75,0,1,0,1,0
859,3,28.0,0,0,7.2292,0,1,1,0,0
462,1,47.0,0,0,38.5,0,1,0,0,1
317,2,54.0,0,0,14.0,0,1,0,0,1
166,1,28.0,0,1,55.0,1,0,0,0,1
790,3,28.0,0,0,7.75,0,1,0,1,0
669,1,28.0,1,0,52.0,1,0,0,0,1
387,2,36.0,0,0,13.0,1,0,0,0,1
854,2,44.0,1,0,26.0,1,0,0,0,1
127,3,24.0,0,0,7.1417,0,1,0,0,1
677,3,18.0,0,0,9.8417,1,0,0,0,1
744,3,31.0,0,0,7.925,0,1,0,0,1
242,2,29.0,0,0,10.5,0,1,0,0,1
386,3,1.0,5,2,46.9,0,1,0,0,1
12,3,20.0,0,0,8.05,0,1,0,0,1
504,1,16.0,0,0,86.5,1,0,0,0,1
333,3,16.0,2,0,18.0,0,1,0,0,1
443,2,28.0,0,0,13.0,1,0,0,0,1
481,2,28.0,0,0,0.0,0,1,0,0,1
106,3,21.0,0,0,7.65,1,0,0,0,1
499,3,24.0,0,0,7.7958,0,1,0,0,1
816,3,23.0,0,0,7.925,1,0,0,0,1
822,1,38.0,0,0,0.0,0,1,0,0,1
474,3,22.0,0,0,9.8375,1,0,0,0,1
470,3,28.0,0,0,7.25,0,1,0,0,1
216,3,27.0,0,0,7.925,1,0,0,0,1
850,3,4.0,4,2,31.275,0,1,0,0,1
165,3,9.0,0,2,20.525,0,1,0,0,1
552,3,28.0,0,0,7.8292,0,1,0,1,0
798,3,30.0,0,0,7.2292,0,1,1,0,0
285,3,33.0,0,0,8.6625,0,1,1,0,0
401,3,26.0,0,0,8.05,0,1,0,0,1
24,3,8.0,3,1,21.075,1,0,0,0,1
160,3,44.0,0,1,16.1,0,1,0,0,1
447,1,34.0,0,0,26.55,0,1,0,0,1
205,3,2.0,0,1,10.4625,1,0,0,0,1
134,2,25.0,0,0,13.0,0,1,0,0,1
849,1,28.0,1,0,89.1042,1,0,1,0,0
260,3,28.0,0,0,7.75,0,1,0,1,0
808,2,39.0,0,0,13.0,0,1,0,0,1
348,3,3.0,1,1,15.9,0,1,0,0,1
231,3,29.0,0,0,7.775,0,1,0,0,1
57,3,28.5,0,0,7.2292,0,1,1,0,0
843,3,34.5,0,0,6.4375,0,1,1,0,0
404,3,20.0,0,0,8.6625,1,0,0,0,1
724,1,27.0,1,0,53.1,0,1,0,0,1
649,3,23.0,0,0,7.55,1,0,0,0,1
796,1,49.0,0,0,25.9292,1,0,0,0,1
830,3,15.0,1,0,14.4542,1,0,1,0,0
778,3,28.0,0,0,7.7375,0,1,0,1,0
180,3,28.0,8,2,69.55,1,0,0,0,1
586,2,47.0,0,0,15.0,0,1,0,0,1
423,3,28.0,1,1,14.4,1,0,0,0,1
883,2,28.0,0,0,10.5,0,1,0,0,1
10,3,4.0,1,1,16.7,1,0,0,0,1
161,2,40.0,0,0,15.75,1,0,0,0,1
547,2,28.0,0,0,13.8625,0,1,1,0,0
464,3,28.0,0,0,8.05,0,1,0,0,1
622,3,20.0,1,1,15.7417,0,1,1,0,0
636,3,32.0,0,0,7.925,0,1,0,0,1
691,3,4.0,0,1,13.4167,1,0,1,0,0
356,1,22.0,0,1,55.0,1,0,0,0,1
151,1,22.0,1,0,66.6,1,0,0,0,1
59,3,11.0,5,2,46.9,0,1,0,0,1
31,1,28.0,1,0,146.5208,1,0,1,0,0
433,3,17.0,0,0,7.125,0,1,0,0,1
358,3,28.0,0,0,7.8792,1,0,0,1,0
709,3,28.0,1,1,15.2458,0,1,1,0,0
764,3,16.0,0,0,7.775,0,1,0,0,1
845,3,42.0,0,0,7.55,0,1,0,0,1
148,2,36.5,0,2,26.0,0,1,0,0,1
605,3,36.0,1,0,15.55,0,1,0,0,1
48,3,28.0,2,0,21.6792,0,1,1,0,0
786,3,18.0,0,0,7.4958,1,0,0,0,1
293,3,24.0,0,0,8.85,1,0,0,0,1
217,2,42.0,1,0,27.0,0,1,0,0,1
886,2,27.0,0,0,13.0,0,1,0,0,1
678,3,43.0,1,6,46.9,1,0,0,0,1
468,3,28.0,0,0,7.725,0,1,0,1,0
370,1,25.0,1,0,55.4417,0,1,1,0,0
491,3,21.0,0,0,7.25,0,1,0,0,1
874,2,28.0,1,0,24.0,1,0,1,0,0
783,3,28.0,1,2,23.45,0,1,0,0,1
741,1,36.0,1,0,78.85,0,1,0,0,1
271,3,25.0,0,0,0.0,0,1,0,0,1
582,2,54.0,0,0,26.0,0,1,0,0,1
861,2,21.0,1,0,11.5,0,1,0,0,1
471,3,38.0,0,0,8.6625,0,1,0,0,1
549,2,8.0,1,1,36.75,0,1,0,0,1
515,1,47.0,0,0,34.0208,0,1,0,0,1
595,3,36.0,1,1,24.15,0,1,0,0,1
536,1,45.0,0,0,26.55,0,1,0,0,1
157,3,30.0,0,0,8.05,0,1,0,0,1
647,1,56.0,0,0,35.5,0,1,1,0,0
263,1,40.0,0,0,0.0,0,1,0,0,1
551,2,27.0,0,0,26.0,0,1,0,0,1
632,1,32.0,0,0,30.5,0,1,1,0,0
343,2,25.0,0,0,13.0,0,1,0,0,1
6,1,54.0,0,0,51.8625,0,1,0,0,1
498,1,25.0,1,2,151.55,1,0,0,0,1
22,3,15.0,0,0,8.0292,1,0,0,1,0
272,2,41.0,0,1,19.5,1,0,0,0,1
684,2,60.0,1,1,39.0,0,1,0,0,1
877,3,19.0,0,0,7.8958,0,1,0,0,1
537,1,30.0,0,0,106.425,1,0,1,0,0
427,2,19.0,0,0,26.0,1,0,0,0,1
71,3,16.0,5,2,46.9,1,0,0,0,1
663,3,36.0,0,0,7.4958,0,1,0,0,1
235,3,28.0,0,0,7.55,1,0,0,0,1
560,3,28.0,0,0,7.75,0,1,0,1,0
124,1,54.0,0,1,77.2875,0,1,0,0,1
810,3,26.0,0,0,7.8875,0,1,0,0,1
402,3,21.0,1,0,9.825,1,0,0,0,1
811,3,39.0,0,0,24.15,0,1,0,0,1
191,2,19.0,0,0,13.0,0,1,0,0,1
112,3,22.0,0,0,8.05,0,1,0,0,1
164,3,1.0,4,1,39.6875,0,1,0,0,1
394,3,24.0,0,2,16.7,1,0,0,0,1
26,3,28.0,0,0,7.225,0,1,1,0,0
880,2,25.0,0,1,26.0,1,0,0,0,1
634,3,9.0,3,2,27.9,1,0,0,0,1
421,3,21.0,0,0,7.7333,0,1,0,1,0
562,2,28.0,0,0,13.5,0,1,0,0,1
417,2,18.0,0,2,13.0,1,0,0,0,1
567,3,29.0,0,4,21.075,1,0,0,0,1
480,3,9.0,5,2,46.9,0,1,0,0,1
680,3,28.0,0,0,8.1375,1,0,0,1,0
426,2,28.0,1,0,26.0,1,0,0,0,1
212,3,22.0,0,0,7.25,0,1,0,0,1
64,1,28.0,0,0,27.7208,0,1,1,0,0
249,2,54.0,1,0,26.0,0,1,0,0,1
658,2,23.0,0,0,13.0,0,1,0,0,1
545,1,64.0,0,0,26.0,0,1,0,0,1
727,3,28.0,0,0,7.7375,1,0,0,1,0
719,3,33.0,0,0,7.775,0,1,0,0,1
772,2,57.0,0,0,10.5,1,0,0,0,1
13,3,39.0,1,5,31.275,0,1,0,0,1
574,3,16.0,0,0,8.05,0,1,0,0,1
876,3,20.0,0,0,9.8458,0,1,0,0,1
319,1,40.0,1,1,134.5,1,0,1,0,0
178,2,30.0,0,0,13.0,0,1,0,0,1
568,3,28.0,0,0,7.2292,0,1,1,0,0
197,3,42.0,0,1,8.4042,0,1,0,0,1
739,3,28.0,0,0,7.8958,0,1,0,0,1
766,1,28.0,0,0,39.6,0,1,1,0,0
318,1,31.0,0,2,164.8667,1,0,0,0,1
222,3,51.0,0,0,8.05,0,1,0,0,1
111,3,14.5,1,0,14.4542,1,0,1,0,0
105,3,28.0,0,0,7.8958,0,1,0,0,1
376,3,22.0,0,0,7.25,1,0,0,0,1
495,3,28.0,0,0,14.4583,0,1,1,0,0
73,3,26.0,1,0,14.4542,0,1,1,0,0
101,3,28.0,0,0,7.8958,0,1,0,0,1
117,2,29.0,1,0,21.0,0,1,0,0,1
521,3,22.0,0,0,7.8958,0,1,0,0,1
720,2,6.0,0,1,33.0,1,0,0,0,1
47,3,28.0,0,0,7.75,1,0,0,1,0
533,3,28.0,0,2,22.3583,1,0,1,0,0
308,2,30.0,1,0,24.0,0,1,1,0,0
570,2,62.0,0,0,10.5,0,1,0,0,1
717,2,27.0,0,0,10.5,1,0,0,0,1
774,2,54.0,1,3,23.0,1,0,0,0,1
879,1,56.0,0,1,83.1583,1,0,1,0,0
136,1,19.0,0,2,26.2833,1,0,0,0,1
785,3,25.0,0,0,7.25,0,1,0,0,1
45,3,28.0,0,0,8.05,0,1,0,0,1
735,3,28.5,0,0,16.1,0,1,0,0,1
664,3,20.0,1,0,7.925,0,1,0,0,1
276,3,45.0,0,0,7.75,1,0,0,0,1
129,3,45.0,0,0,6.975,0,1,0,0,1
359,3,28.0,0,0,7.8792,1,0,0,1,0
453,1,49.0,1,0,89.1042,0,1,1,0,0
81,3,29.0,0,0,9.5,0,1,0,0,1
534,3,30.0,0,0,8.6625,1,0,0,0,1
278,3,7.0,4,1,29.125,0,1,0,1,0
173,3,21.0,0,0,7.925,0,1,0,0,1
726,2,30.0,3,0,21.0,1,0,0,0,1
123,2,32.5,0,0,13.0,1,0,0,0,1
817,2,31.0,1,1,37.0042,0,1,1,0,0
604,1,35.0,0,0,26.55,0,1,1,0,0
405,2,34.0,1,0,21.0,0,1,0,0,1
759,1,33.0,0,0,86.5,1,0,0,0,1
667,3,28.0,0,0,7.775,0,1,0,0,1
477,3,29.0,1,0,7.0458,0,1,0,0,1
643,3,28.0,0,0,56.4958,0,1,0,0,1
673,2,31.0,0,0,13.0,0,1,0,0,1
451,3,28.0,1,0,19.9667,0,1,0,0,1
770,3,24.0,0,0,9.5,0,1,0,0,1
135,2,23.0,0,0,15.0458,0,1,1,0,0
283,3,19.0,0,0,8.05,0,1,0,0,1
21,2,34.0,0,0,13.0,0,1,0,0,1
442,3,25.0,1,0,7.775,0,1,0,0,1
467,1,56.0,0,0,26.55,0,1,0,0,1
683,3,14.0,5,2,46.9,0,1,0,0,1
503,3,37.0,0,0,9.5875,1,0,0,0,1
621,1,42.0,1,0,52.5542,0,1,0,0,1
388,3,28.0,0,0,7.7292,0,1,0,1,0
490,3,28.0,1,0,19.9667,0,1,0,0,1
834,3,18.0,0,0,8.3,0,1,0,0,1
250,3,28.0,0,0,7.25,0,1,0,0,1
613,3,28.0,0,0,7.75,0,1,0,1,0
143,3,19.0,0,0,6.75,0,1,0,1,0
300,3,28.0,0,0,7.75,1,0,0,1,0
662,1,47.0,0,0,25.5875,0,1,0,0,1
846,3,28.0,8,2,69.55,0,1,0,0,1
840,3,20.0,0,0,7.925,0,1,0,0,1
862,1,48.0,0,0,25.9292,1,0,0,0,1
303,2,28.0,0,0,12.35,1,0,0,1,0
198,3,28.0,0,0,7.75,1,0,0,1,0
229,3,28.0,3,1,25.4667,1,0,0,0,1
252,1,62.0,0,0,26.55,0,1,0,0,1
472,2,33.0,1,2,27.75,1,0,0,0,1
492,1,55.0,0,0,30.5,0,1,0,0,1
132,3,47.0,1,0,14.5,1,0,0,0,1
262,1,52.0,1,1,79.65,0,1,0,0,1
749,3,31.0,0,0,7.75,0,1,0,1,0
659,1,58.0,0,2,113.275,0,1,1,0,0
543,2,32.0,1,0,26.0,0,1,0,0,1
349,3,42.0,0,0,8.6625,0,1,0,0,1
516,2,34.0,0,0,10.5,1,0,0,0,1
367,3,28.0,0,0,7.2292,1,0,1,0,0
290,1,26.0,0,0,78.85,1,0,0,0,1
379,3,19.0,0,0,7.775,0,1,0,0,1
277,2,28.0,0,0,0.0,0,1,0,0,1
113,3,20.0,1,0,9.825,1,0,0,0,1
413,2,28.0,0,0,0.0,0,1,0,0,1
670,2,40.0,1,1,39.0,1,0,0,0,1
642,3,2.0,3,2,27.9,1,0,0,0,1
881,3,33.0,0,0,7.8958,0,1,0,0,1
535,2,7.0,0,2,26.25,1,0,0,0,1
603,3,44.0,0,0,8.05,0,1,0,0,1
688,3,18.0,0,0,7.7958,0,1,0,0,1
282,3,16.0,0,0,9.5,0,1,0,0,1
264,3,28.0,0,0,7.75,1,0,0,1,0
279,3,35.0,1,1,20.25,1,0,0,0,1
406,3,51.0,0,0,7.75,0,1,0,0,1
373,1,22.0,0,0,135.6333,0,1,1,0,0
554,3,22.0,0,0,7.775,1,0,0,0,1
675,3,18.0,0,0,7.775,0,1,0,0,1
836,3,21.0,0,0,8.6625,0,1,0,0,1
49,3,18.0,1,0,17.8,1,0,0,0,1
705,2,39.0,0,0,26.0,0,1,0,0,1
864,2,24.0,0,0,13.0,0,1,0,0,1
347,3,28.0,1,0,16.1,1,0,0,0,1
661,3,40.0,0,0,7.225,0,1,1,0,0
147,3,9.0,2,2,34.375,1,0,0,0,1
866,2,27.0,1,0,13.8583,1,0,1,0,0
700,1,18.0,1,0,227.525,1,0,1,0,0
104,3,37.0,2,0,7.925,0,1,0,0,1
62,1,45.0,1,0,83.475,0,1,0,0,1
806,1,39.0,0,0,0.0,0,1,0,0,1
96,1,71.0,0,0,34.6542,0,1,1,0,0
361,2,29.0,1,0,27.7208,0,1,1,0,0
868,3,28.0,0,0,9.5,0,1,0,0,1
336,1,29.0,1,0,66.6,0,1,0,0,1
126,3,28.0,0,0,7.75,0,1,0,1,0
631,3,51.0,0,0,7.0542,0,1,0,0,1
295,1,28.0,0,0,27.7208,0,1,1,0,0
206,3,32.0,1,0,15.85,0,1,0,0,1
137,1,37.0,1,0,53.1,0,1,0,0,1
775,3,18.0,0,0,7.75,0,1,0,0,1
743,3,24.0,1,0,16.1,0,1,0,0,1
546,2,19.0,1,0,26.0,1,0,0,0,1
50,3,7.0,4,1,39.6875,0,1,0,0,1
316,2,24.0,1,0,26.0,1,0,0,0,1
163,3,17.0,0,0,8.6625,0,1,0,0,1
340,2,2.0,1,1,26.0,0,1,0,0,1
722,2,34.0,0,0,13.0,0,1,0,0,1
214,3,28.0,1,0,7.75,0,1,0,1,0
725,3,20.0,0,0,8.6625,0,1,0,0,1
172,3,1.0,1,1,11.1333,1,0,0,0,1
556,1,48.0,1,0,39.6,1,0,1,0,0
109,3,28.0,1,0,24.15,1,0,0,1,0
485,3,28.0,3,1,25.4667,1,0,0,0,1
225,3,22.0,0,0,9.35,0,1,0,0,1
68,3,17.0,4,2,7.925,1,0,0,0,1
575,3,19.0,0,0,14.5,0,1,0,0,1
716,1,38.0,0,0,227.525,1,0,1,0,0
341,1,24.0,3,2,263.0,1,0,0,0,1
258,1,35.0,0,0,512.3292,1,0,1,0,0
75,3,25.0,0,0,7.65,0,1,0,0,1
509,3,26.0,0,0,56.4958,0,1,0,0,1
824,3,2.0,4,1,39.6875,0,1,0,0,1
594,2,37.0,1,0,26.0,0,1,0,0,1
787,3,8.0,4,1,29.125,0,1,0,1,0
207,3,26.0,0,0,18.7875,0,1,1,0,0
755,2,0.67,1,1,14.5,0,1,0,0,1
34,1,28.0,1,0,82.1708,0,1,1,0,0
697,3,28.0,0,0,7.7333,1,0,0,1,0
305,1,0.92,1,2,151.55,0,1,0,0,1
592,3,47.0,0,0,7.25,0,1,0,0,1
611,3,28.0,0,0,7.05,0,1,0,0,1
757,2,18.0,0,0,11.5,0,1,0,0,1
93,3,26.0,1,2,20.575,0,1,0,0,1
714,2,52.0,0,0,13.0,0,1,0,0,1
450,2,36.0,1,2,27.75,0,1,0,0,1
635,2,28.0,0,0,13.0,1,0,0,0,1
449,1,52.0,0,0,30.5,0,1,0,0,1
511,3,28.0,0,0,8.05,0,1,0,0,1
548,3,33.0,1,1,20.525,0,1,0,0,1
685,2,25.0,1,2,41.5792,0,1,1,0,0
746,3,16.0,1,1,20.25,0,1,0,0,1
233,3,5.0,4,2,31.3875,1,0,0,0,1
587,1,60.0,1,1,79.2,0,1,1,0,0
382,3,32.0,0,0,7.925,0,1,0,0,1
280,3,65.0,0,0,7.75,0,1,0,1,0
737,1,35.0,0,0,512.3292,0,1,1,0,0
624,3,21.0,0,0,16.1,0,1,0,0,1
256,1,28.0,0,0,79.2,1,0,1,0,0
368,3,28.0,0,0,7.75,1,0,0,1,0
858,3,24.0,0,3,19.2583,1,0,1,0,0
170,1,61.0,0,0,33.5,0,1,0,0,1
769,3,32.0,0,0,8.3625,0,1,0,0,1
710,1,24.0,0,0,49.5042,1,0,1,0,0
505,1,18.0,1,0,108.9,0,1,1,0,0
873,3,47.0,0,0,9.0,0,1,0,0,1
544,1,50.0,1,0,106.425,0,1,1,0,0
615,2,24.0,1,2,65.0,1,0,0,0,1
